IDArt;CodProveedor;Articulo;PrecioCosto;PorcIVA;IDProveedor;IDRubro;IDMoneda;MargenMin;MargenInt;MargenMay;UniBulto;PorcDto;PorcRec;PrecioFlete;PVMin;PVInt;PVMay;CodBarra;Nota
002472;002472;PAN RALLADO PREFERIDO 1KG.;2089.0000;0.0;35;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;3800.0000;2507.0000;3800.0000;7790070433176;Rubro: ALMACEN
002473;002473;EXQUISITA GELATINA FRUTILLA 40G;708.0000;0.0;35;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;1300.0000;850.0000;1300.0000;7790070432490;Rubro: ALMACEN
002474;002474;TALCA LIMA LIMON 3L;1703.0000;0.0;57;1;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;2044.0000;2500.0000;7793755000083;Rubro: BEBIDAS
002475;002475;TALCA POMELO 3L;1703.0000;0.0;57;1;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;2044.0000;2500.0000;7793755000090;Rubro: BEBIDAS
002476;002476;TALCA COLA 3L;1703.0000;0.0;57;1;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;2044.0000;2500.0000;7793755000069;Rubro: BEBIDAS
002477;002477;TALCA NARANJA 3L;1703.0000;0.0;57;1;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;2044.0000;2500.0000;7793755000076;Rubro: BEBIDAS
002478;002478;CREMA DE LECHE LS ZERO LAC 200ML;1769.0000;0.0;12;7;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;3200.0000;2123.0000;3200.0000;7790742142009;Rubro: LACTEOS
002479;002479;DULCE DE LECHE LS COLONIAL 250ML;1540.0000;0.0;12;7;1;1.0;0.2;0.2;1;0.0;0.0;0.0000;3100.0000;1848.0000;3100.0000;7790742625106;Rubro: LACTEOS
002480;002480;RED POINT 10 COMUN;950.0000;0.0;27;8;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1500.0000;1140.0000;1500.0000;77974907;Rubro: CIGARRILLOS
002481;002481;JUGO TANG PERA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201745738;Rubro: ALMACEN
002482;002482;JUGO TANG FRUTILLA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201746490;Rubro: ALMACEN
002483;002483;JUGO TANG POMELO ROSADO;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201735746;Rubro: ALMACEN
002484;002484;JUGO TANG ANANA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201745967;Rubro: ALMACEN
002485;002485;JUGO TANG UVA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201746117;Rubro: ALMACEN
002486;002486;JUGO TANG MANDARINA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201733865;Rubro: ALMACEN
002487;002487;JUGO TANG GALACTICO;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622202311482;Rubro: ALMACEN
002488;002488;JUGO TANG NARANJA DURAZNO;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201745707;Rubro: ALMACEN
002489;002489;JUGO TANG NARANJA LIMA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201746018;Rubro: ALMACEN
002490;002490;JUGO TANG NARANJA BANANA;330.0000;0.0;5;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;396.0000;600.0000;7622201735777;Rubro: ALMACEN
002491;002491;AGUA MINERAL BENEDICTINO 2.25L;1775.0000;0.0;1;1;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2800.0000;2130.0000;2800.0000;7790895647666;Rubro: BEBIDAS
002492;002492;SMIRNOFF N21 VODKA 750ML;7145.0000;0.0;1;1;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;11500.0000;8574.0000;11500.0000;7791250001345;Rubro: BEBIDAS
002493;002493;HELADO AGUILA BARRITA 34G;1150.0000;0.0;10;18;1;1.2;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;1380.0000;2500.0000;7790580118969;Rubro: HELADOS
002494;002494;DORITOS QUESO 219G;3285.0000;0.0;28;12;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;5800.0000;3942.0000;5800.0000;7790310985656;Rubro: SNACKS
002495;002495;SPRITE ZERO ICE LATA 473CC;989.0000;0.0;1;1;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;1900.0000;1187.0000;1900.0000;7790895650468;Rubro: BEBIDAS
002496;002496;BOXER COMUN 20;950.0000;0.0;27;8;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;1600.0000;1140.0000;1600.0000;78427754;Rubro: CIGARRILLOS
002497;002497;BOXER CONVERTIBLE 20;950.0000;0.0;27;8;1;0.7;0.2;0.2;1;0.0;0.0;0.0000;1600.0000;1140.0000;1600.0000;77961532;Rubro: CIGARRILLOS
002498;002498;LA ESTRELLA PAPAS FRITAS CLASICAS 70G;790.0000;0.0;2;12;1;1.2;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;948.0000;1700.0000;727373075328;Rubro: SNACKS
002499;002499;LA ESTRELLA PAPAS FRITAS CHEDDAR 70G;1100.0000;0.0;58;12;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;1320.0000;1700.0000;727373076264;Rubro: SNACKS
002500;002500;LA ESTRELLA PAPAS FRITAS PICANTE 70G;1100.0000;0.0;58;12;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;1320.0000;1700.0000;714604361565;Rubro: SNACKS
002501;002501;LA ESTRELLA PAPAS FRITAS ASADO 70G;1100.0000;0.0;58;12;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;1320.0000;1700.0000;727373076189;Rubro: SNACKS
002502;002502;LA ESTRELLA PAPAS FRITAS J. SERRANO 70G;1100.0000;0.0;58;12;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;1320.0000;1700.0000;727373076035;Rubro: SNACKS
002503;002503;LA ESTRELLA PAPAS FRITAS KETCHUP 70G;1100.0000;0.0;58;12;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;1700.0000;1320.0000;1700.0000;727373075960;Rubro: SNACKS
002504;002504;HELADO LM BOMBONCITOS DDL 180G;4500.0000;0.0;50;18;1;0.5;0.2;0.2;1;0.0;0.0;0.0000;6800.0000;5400.0000;6800.0000;7798131012612;Rubro: HELADOS
002505;002505;HELADO LM DOS EXTREM 45G;654.0000;0.0;50;18;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;1200.0000;785.0000;1200.0000;7798131013138;Rubro: HELADOS
002506;002506;SLICES PAPAS FRITAS CHEDDAR 150G;1900.0000;0.0;44;12;1;0.9;0.2;0.2;1;0.0;0.0;0.0000;3700.0000;2280.0000;3700.0000;7798066076352;Rubro: SNACKS
002507;002507;SCHWEPPES CITRUS 1.5L;2166.0000;0.0;1;1;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;3900.0000;2599.0000;3900.0000;7790895006722;Rubro: BEBIDAS
002508;002508;MENTITAS MENTA 26G;327.0000;0.0;54;5;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;392.0000;600.0000;7798094340012;Rubro: GOLOSINAS
002509;002509;MENTITAS FRUTAL 26G;327.0000;0.0;54;5;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;600.0000;392.0000;600.0000;7798094340555;Rubro: GOLOSINAS
002510;002510;RED BULL WINTER EDITION 250ML;2533.0000;0.0;3;1;1;0.4;0.2;0.2;1;0.0;0.0;0.0000;3500.0000;3040.0000;3500.0000;9002490284152;Rubro: BEBIDAS
002511;002511;RED BULL ENERGY DRYNK;3415.0000;0.0;3;1;1;0.4;0.2;0.2;1;0.0;0.0;0.0000;4800.0000;4098.0000;4800.0000;90435225;Rubro: BEBIDAS
002512;002512;DON YEYO PIONONO 200GR;2352.0000;0.0;14;3;1;0.8;0.2;0.2;1;0.0;0.0;0.0000;4300.0000;2822.0000;4300.0000;7795293204107;Rubro: ALMACEN
002513;002513;GALLETAS MACUCAS BLACK 110G;858.0000;0.0;10;5;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;1400.0000;1030.0000;1400.0000;7790040150461;Rubro: GOLOSINAS
002514;002514;GALLETAS SURTIDO LIA 400G;1729.0000;0.0;10;5;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2700.0000;2075.0000;2700.0000;7790040149021;Rubro: GOLOSINAS
002515;002515;CAJA TE LA VIRGINIA MAND NAR POM 20U;1537.0000;0.0;34;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;1844.0000;2500.0000;7790150240427;Rubro: ALMACEN
002516;002516;CAJA TE LA VIRGINIA FRUT TROP 20U;1537.0000;0.0;34;3;1;0.6;0.2;0.2;1;0.0;0.0;0.0000;2500.0000;1844.0000;2500.0000;7790150240526;Rubro: ALMACEN
