Codigo,Producto,Precio,Costo,Categorias,Stock,StockMinimo,CodigoBarras,Unidad,CantidadEnvase,Ubicacion
000117,CAJA TE LA VIRGINIA DURAZNO X20,1800.0,1500.0,ALMACEN,1,0,7790150380161,Unidades,0,
000118,CAJA TE LA VIRGINIA FRUTILLA X20,1721.0,1434.0,ALMACEN,2,0,7790150396186,Unidades,0,
000119,CAJA TE LA VIRGINIA TILO MANZNILLA Y CEDRON X20,2525.0,2104.0,ALMACEN,1,0,7790150321065,Unidades,0,
000120,CAJA TE LA VIRGINIA TE VERDE X20,1800.0,1500.0,ALMACEN,3,0,7790150355084,Unidades,0,
000121,FILTRO MELITTA CAFE N4 30U,,,ALMACEN,2,0,7891021002592,Unidades,0,
000122,MAIZENA 220G,,,ALMACEN,0,0,7794000007451,Unidades,0,
000123,LA VIRGINIA CAPUCCINO DOY PACK 125G,3314.0,2762.0,ALMACEN,0,0,7790150160725,Unidades,0,
000124,LA VIRGINIA CORTADO DOY PACK 125G,3514.0,2928.0,ALMACEN,0,0,7790150161371,Unidades,0,
000125,LA VIRGINIA LATTE DOY PACK 125G,4211.0,3509.0,ALMACEN,0,0,7790150161326,Unidades,0,
000126,LA VIRGINIA CAFE MOLIDO 125G,,,ALMACEN,-2,0,779015000,Unidades,0,
000127,MENTHOPLUS MENTA 29G,365.0,304.0,GOLOSINAS,9,0,77958662,Unidades,0,
000128,TE LA VIRGINIA 25U,1200.0,788.0,ALMACEN,2,0,7790150211908,Unidades,0,
000129,GALLETAS MAROLIO SANDWICH 303G,,,ALMACEN,-2,0,7797470009833,Unidades,0,
000130,TE GREEN HILLS 100G,,,ALMACEN,-1,0,7790480089901,Unidades,0,
000131,CAFE LA VIRGINIA SAQUITO CAJA 20U,4800.0,4000.0,ALMACEN,-2,0,7790150079904,Unidades,0,
000132,CAFE LA VIRGINIA SAQUITO X UNIDAD 5G,264.0,220.0,ALMACEN,9,0,7790150079898,Unidades,0,
000133,TARAGUI YERBA SAQUITO NIÑO 20U,,,ALMACEN,-2,0,7790387011852,Unidades,0,
000134,POLENTA PRESTO PRONTA ESPINACA 250G,1184.0,987.0,ALMACEN,3,0,7790580126315,Unidades,0,
000135,CAFE LA VIRGINIA SUAVE 50G,2400.0,2000.0,ALMACEN,0,0,7790150101667,Unidades,0,
000136,CAFE LA VIRGINIA CLASICO 50G,2678.0,2232.0,ALMACEN,2,0,7790150100677,Unidades,0,
000137,CAFE LA VIRGINIA CLASICO 100G,5600.0,3998.0,ALMACEN,0,0,7790150100783,Unidades,0,
000138,CAFE LA VIRGINIA SUAVE 100G,5038.0,4198.0,ALMACEN,1,0,7790150101773,Unidades,0,
000139,CAFE LA VIRGINIA SUAVE 170G,7546.0,6288.0,ALMACEN,2,0,7790150101490,Unidades,0,
000140,CAFE LA VIRGINIA CLASICO 170G,8900.0,6288.0,ALMACEN,0,0,7790150100486,Unidades,0,
000141,ENCENDEDOR CANCUN,600.0,201.0,ALMACEN,-1,0,7798347085646,Unidades,0,
000142,PALILLO ESENCIAL 1 X 50U,,,ALMACEN,-1,0,7797470007259,Unidades,0,
000143,POMADA WASSINGTON INCOLORO 60CC,,,LIMPIEZA E HIGIENE,-1,0,7793350000433,Unidades,0,
000144,POMADA WASSINGTON BLANCO 60CC,,,LIMPIEZA E HIGIENE,0,0,7793350000440,Unidades,0,
000145,POMADA WASSINGTON NEGRO 60CC,,,LIMPIEZA E HIGIENE,0,0,7793350000402,Unidades,0,
000146,SHAMPOO PANTENE HIDRATA. 200ML,3797.0,3164.0,LIMPIEZA E HIGIENE,0,0,7500435230100,Unidades,0,
000147,ACONDICIONADOR PANTENE HIDRAT. 200ML,3600.0,3000.0,LIMPIEZA E HIGIENE,0,0,7500435230070,Unidades,0,
000148,ACONDICIONADOR SEDAL HIDRAT. 200ML,2160.0,1800.0,LIMPIEZA E HIGIENE,0,0,7791293045863,Unidades,0,
000149,SHAMPOO SEDAL REST. INST. 200ML,,,LIMPIEZA E HIGIENE,2,0,7791293045689,Unidades,0,
000150,TALCO REXONA FRESH 100G,,,LIMPIEZA E HIGIENE,0,0,7791293044484,Unidades,0,
000151,TALCO REXONA ORIGINAL 100G,,,LIMPIEZA E HIGIENE,0,0,7791293044477,Unidades,0,
000152,JABON TOCADOR REXONA COTTON FRESH 120G,,,LIMPIEZA E HIGIENE,0,0,7791293050980,Unidades,0,
000153,JABON TOCADOR REXONA NUTRITIVE 120G,,,LIMPIEZA E HIGIENE,0,0,7791293051000,Unidades,0,
000154,JABON TOCADOR REXONA SENSIBLE 120G,,,LIMPIEZA E HIGIENE,0,0,7791293050966,Unidades,0,
000155,ALCOHOL PATRICIA A. 500CC,1800.0,1500.0,LIMPIEZA E HIGIENE,0,0,7797470127223,Unidades,0,
000156,COLGATE CREMA DENTAL HERBAL 70G,,,LIMPIEZA E HIGIENE,0,0,7509546692203,Unidades,0,
000157,TOALLAS HUMEDAS Q. SOFT CLASICAS 50U,,,LIMPIEZA E HIGIENE,-1,0,7790773086051,Unidades,0,
000158,TOALLAS HUMEDAS Q. SOFT ALOE 50U,,,LIMPIEZA E HIGIENE,-20,0,7790773086150,Unidades,0,
000159,ALGODON ESTRELLA CLASIC. 75G,1200.0,1000.0,LIMPIEZA E HIGIENE,0,0,7790064000261,Unidades,0,
000160,QUESO RALLADO LA PAULINA 40G,,,ALMACEN,0,0,7790398100118,Unidades,0,
000161,TAMPON OB MINI,,,LIMPIEZA E HIGIENE,-1,0,7891010254766,Unidades,0,
000162,TAMPON OB MEDIO,,,LIMPIEZA E HIGIENE,-1,0,7891010254773,Unidades,0,
