;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7798066075287;PAPAS CON CHEDDAR;;;;SLICES;;1.100,00;3;;3.300,00
;7798066076277;PAPAS CON SALAME;;;;SLICES;;1.100,00;3;;3.300,00
;7798052360618;PAPAS FRITAS 20 GS;;;;NIKITOS;;500,00;10;;5.000,00
;7790040153165;PAPAS FRITAS ORIGINAL;;;;SALADIX;;1.500,00;2;;3.000,00
;7798066077250;PAPAS PICANTE ARGENTINO;;;;SLICES;;1.100,00;2;;2.200,00
;7790360981042;PAPAS PRE FRITAS 700 GS;;;;SWIFT;;3.175,00;2;;6.350,00
;724373618500;PAPEL ALUMINIO 5 M;;;;CACIQUE;;1.220,00;1;;1.220,00
;0028;PAPEL DE FUMAR;;;;;;350,00;22;;7.700,00
;724373618494;PAPEL FILM 15 M;;;;CACIQUE;;1.312,00;2;;2.624,00
;7790250026136;PAPEL HIGIENICO 30 MS;;;;ELITE;;1.300,00;49;;63.700,00
;7791828000060;PAPEL HIGIENICO 6UN ;;;;FELPITA;;1.652,00;120;;198.240,0
;;;;;;;;;;;0
;7791828000657;PAPEL HIGIENICO 80 M;;;;FELPITA;;3.600,00;4;;14.400,00
;076625282787;PAPEL HIGIENICO INDIV;;;;X-TRA;;350,00;29;;10.150,00
;714604522539;PAPEL HIGIENICO MANZANAR;;;;;;500,00;1;;500,00
;7797470129760;PAPEL HIGIENICO X 4UN;;;;ESCENCIAL;;1.100,00;12;;13.200,00
;7797470129678;PAPEL HIGIENICO X 6 UN;;;;ESCENCIAL;;1.600,00;2;;3.200,00
;7798066075270;PAPS C/KETCHUP;;;;SLICES;;1.100,00;1;;1.100,00
;0011;PARAGUITAS;;;;;;720,00;15;;10.800,00
;206;PARCHES N3;;;;;;150,00;6;;900,00
;207;PARCHES N4 ;;;;;;200,00;35;;7.000,00
;7792360097105;PASA BAÑADAS CHOC;;;;BONAFIDE;;1.000,00;3;;3.000,00
;7790580141707;PASAS COFLER 100 GS;;;;ARCOR;;4.000,00;100;;400.000,0
;;;;;;;;;;;0
;7791813420385;PASO DE LOS TOROS 500ML;;;;PEPSI;;1.000,00;99;;99.000,00
;7791813421382;PASO DE LOS TOROS POMELO 1,5 L;;;;PEPSI;;2.500,00;12;;30.000,00
;7791813421368;PASO DE LOS TOROS TONICA 1,5L;;;;PEPSI;;2.500,00;11;;27.500,00
;7500435150262;PASTA DENTAL 150 GS;;;;ORAL-B;;3.900,00;1;;3.900,00
;7506339363883;PASTA DENTAL 70 GS;;;;ORAL-B;;1.145,00;9;;10.305,00
;7509546687285;PASTA DENTAL 70 GS;;;;ODOL;;1.400,00;10;;14.000,00
;;;;;;Pág. 27 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7500435122764;PASTA DENTAL 70 GS ;;;;ORAL-B;;1.500,00;10;;15.000,00
;7509546692227;PASTA DENTAL 90 GS;;;;KOLYNOS;;1.650,00;3;;4.950,00
;7509546685847;PASTA DENTAL NIÑO;;;;ODOLITO;;1.350,00;2;;2.700,00
;7791130302517;PASTILLA INODORO X 2 UN;;;;HARPIC;;3.000,00;1;;3.000,00
;7790360965127;PATE;;;;LA BLANCA;;470,00;10;;4.700,00
;7798068287404;PATITAS DE POLLO 1 KG ;;;;GRANGYS;;6.000,00;10;;60.000,00
;9771473968012;PEGAMENTO ;;;;;;900,00;9;;8.100,00
;7790070336361;PENNE RIGATE;;;;LUCCHETTI;;950,00;2;;1.900,00
;7791813888413;PEPSI 1,5 L DESCARTABLE;;;;PEPSI;;2.500,00;5;;12.500,00
;7791813828365;PEPSI BLACK 500ML;;;;PEPSI;;1.000,00;100;;100.000,0
;7791813888444;PEPSI RECO;;;;PEPSI;;2.300,00;27;;62.100,000
;7797470000878;PERAS LATA 820 GS;;;;MAROLIO;;1.650,00;3;;4.950,00
;0123456789123;PERCHAS PLASTICAS X 4 UN;;;;VAGLI;;1.200,00;2;;2.400,00
;0030;PERCHERO REDONDO;;;;;;2.500,00;1;;2.500,00
;0046;PERCHERO ROSA;;;;;;3.000,00;1;;3.000,00
;6920240529168;PERFILADOR DE CEJAS;;;;;;1.450,00;3;;4.350,00
