;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7793653000864;TORASSO 500 ML;;;;TORASSO;;600,00;1;;600,00
;7793653000741;TORASSO 500 ML;;;;TORASSO;;600,00;2;;1.200,00
;7793653230919;TORASSO GRANADINA 3 L;;;;TORASSO;;1.300,00;9913;;12.886.90
;;;;;;;;;;;0,00
;076625212050;TOSTADAS DE ARROZ;;;;RISKI-DIT;;1.250,00;1;;1.250,00
;076625212074;TOSTADAS DE ARROZ;;;;RISKI-DIT;;1.000,00;10;;10.000,00
;7798448630011;TOSTADAS DE ARROZ CLASICA;;;;LIBERA;;1.050,00;4;;4.200,00
;7790412000271;TOSTADAS DE ARROZ CLASICAS;;;;LEIVA;;950,00;2;;1.900,00
;7790412000288;TOSTADAS DE ARROZ DULCES;;;;LEIVA;;950,00;1;;950,00
;7790071090330;TOSTADAS INTEGRALES;;;;RIERA;;1.000,00;2;;2.000,00
;7794440005369;TRAPO DE PISO;;;;VIRULANA ;;900,00;3;;2.700,00
;7798035497003;TRAPO DE PISO;;;;VALENA;;700,00;1;;700,00
;7795085000016;TRAPO DE PISO;;;;JULIETA;;700,00;3;;2.100,00
;7798024450118;TRAPO DE PISO;;;;MR TRAPO;;1.000,00;3;;3.000,00
;7798136921803;TRAPO DE PISO GRIS;;;;LA PONDEROSA;;750,00;2;;1.500,00
;7790927812901;TRAPO DE PISO REFORZADO;;;;MEDIA NARANJA;;1.350,00;2;;2.700,00
;7790150355244;TRE VERDECITRUS;;;;LA VIRGINIA;;1.300,00;4;;5.200,00
;7790580142186;TUBITO MOGUL;;;;ARCOR;;1.000,00;12;;12.000,00
;7790580147709;TURRON ALMENDRAS AZUL;;;;ARCOR;;2.077,00;2;;4.154,00
;7790380013587;TURRON BLANDO DE MANI 90GS;;;;GEORGALOS;;1.000,00;99;;99.000,00
;7790580311605;TURRON CON FRUTAS 80 GS;;;;ARCOR;;1.000,00;50;;50.000,00
;7790380013570;TURRON DE ALMENDRAS;;;;GEORGALOS;;3.000,00;50;;150.000,0
;7790580283155;TURRON DE FRUTAS 120 GS;;;;ARCOR;;900,00;4;;3.600,000
;77940131;TURRON DE MANI;;;;ARCOR;;250,00;3;;750,00
;;;;;;Pág. 37 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790380003809;TURRON DE MANI;;;;GEORGALOS;;150,00;9;;1.350,00
;7790580283506;TURRON DE MANI 120 GS;;;;ARCOR;;1.500,00;2;;3.000,00
;7790380012108;TURRON DE MANI 120GS;;;;GEORGALOS;;1.500,00;97;;0145.500,0
;7790380003267;TURRON DE MANI 130 GS;;;;GEORGALOS;;2.000,00;997;;1.994.000,
;7790580240400;TURRON DE MANI 80 GS;;;;ARCOR;;1.000,00;2;;2.000,0000
;7790380012122;TURRON DE MANI 80GS;;;;GEORGALOS;;900,00;97;;87.300,00
;7790380034018;TURRON DE MANI CON FRUTAS 80 GS;;;;GEORGALOS;;800,00;28;;22.400,00
;7790380034025;TURRON DE MANI DE BAÑADO;;;;GEORGALOS;;1.500,00;99;;148.500,0
;;;;;;;;;;;0
;7790198000328;VAINILLIN 30 CC;;;;GALVAN;;800,00;4;;3.200,00
;420;VAINILLIN GRANDE;;;;FLEIBOR;;1.250,00;21;;26.250,00
;7794297012060;VALDE CON ESCURRIDOR;;;;DESES PLAST;;5.600,00;1;;5.600,00
;418;VALDE DE PLASTICO;;;;;;1.500,00;3;;4.500,00
;7501058753458;VANISH BLANCO 120 GS;;;;VANISH;;1.450,00;3;;4.350,00
;7501058753441;VANISH ROSADO 120 GS;;;;VANISH;;1.450,00;3;;4.350,00
;0045;VELAS CHICAS ;;;;MALAMBO;;500,00;6;;3.000,00
;0044;VELAS EXTRA GRANDES;;;;JACARANDA;;1.000,00;2;;2.000,00
;7798160570022;VELAS GRANDE ;;;;JACARANDA;;730,00;3;;2.190,00
;0043;VELAS GRANDES;;;;JACARANDA;;1.000,00;7;;7.000,00
;0047;VELAS VHICA ;;;;JACARANDA;;400,00;1;;400,00
;7790290007195;VERMOUT;;;;PUNTEMES;;2.500,00;2;;5.000,00
;7790139101572;VINAGRE DE ALCOHOL;;;;FAVINCO;;1.256,00;3;;3.768,00
;7795422002109;VINAGRE DE ALCOHOL  1 L;;;;FRAU;;1.000,00;3;;3.000,00
;7790139003173;VINAGRE DE ALCOHOL 1L;;;;CASALTA;;1.200,00;8;;9.600,00
;7797470132692;VINAGRE DE ALCOHOL 500 ML;;;;MAROLIO;;900,00;2;;1.800,00
;763571696866;VINAGRE DE ALCOHOL 500ML;;;;LA RINCONADA;;620,00;1;;620,00
;7790130000089;VINAGRE DE MANZANA 1 L;;;;MENOYO;;1.500,00;1;;1.500,00
;7792900093000;VINAGRE DE MANZANA 500 ML;;;;;;1.250,00;2;;2.500,00
;7792900092980;VINAGRE DE VINAGRE 500 ML;;;;DOS ANCLAS;;1.400,00;5;;7.000,00
; 7790139101152;VINAGRE DE VINO 1L;;;;FAVINCO;;1.554,00;3;;4.662,00
;7798015560031;VINAGRE DE VINO 1L;;;;LA RINCONADA;;1.600,00;6;;9.600,00
;7790139101169;VINAGRE DE VINO 500 ML;;;;FAVINCO;;1.000,00;7;;7.000,00
;7797470132739;VINAGRE DE VINO 500 ML;;;;MAROLIO;;900,00;3;;2.700,00
;7795422000280;VINAGRE DE VINO 500 ML;;;;FRAU;;800,00;4;;3.200,00
;7798065440123;VINAGRE DEV MANZANA 1 L;;;;AMBALI;;2.200,00;1;;2.200,00
;107798108833950;VINO;;;;CALLIA;;3.500,00;1;;3.500,00
;7790314068515;VINO BLANCO CAJA;;;;EL GRINGO;;1.200,00;6;;7.200,00
;7798064690550;VINO BLANCO CAJA;;;;HAGMAN;;1.500,00;410;;615.000,0
;7790240041880;VINO BLANCO DULCE;;;;ALARIS;;2.450,00;2;;4.900,000
;7798109156171;VINO BLANCO DULCE;;;;FUEGO NEGRO;;3.800,00;4;;15.200,00
;7794123001404;VINO CABERNET SAUVIGNON;;;;CAVAS DE ZONDA;;2.500,00;100;;250.000,0
;00194;VINO EN DAMAJUANA;;;;;;6.500,00;7;;45.500,000
;7790704167637;VINO MALBEC;;;;SUTER;;2.250,00;5;;11.250,00
;;;;;;Pág. 38 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7798141877058;VINO MALBEC;;;;LA CELIA;;400,00;5;;2.000,00
;7790240128598;VINO MALBEC,;;;;FINCA LAS MORAS;;3.500,00;3;;10.500,00
;7790240095289;VINO ROSE DULCE;;;;ALARIS;;2.450,00;1;;2.450,00
;7790385001237;VINO SIRAH ;;;;MARTIN FIERRO;;2.250,00;3;;6.750,00
;7798108834377;VINO SIRAH/MALBEC;;;;ESPERADO;;3.800,00;3;;11.400,00
;7790385000056;VINO TINTO;;;;LA QUEBRADA;;2.000,00;1;;2.000,00
;7794123000247;VINO TINTO CAJA;;;;FRATERNAL;;1.500,00;5;;7.500,00
;7790036846262;VINO TINTO CAJA;;;;TALACASTO;;1.260,00;1;;1.260,00
;7790314068492;VINO TINTO CAJA;;;;EL GRINGO;;1.200,00;11;;13.200,00
;7790036068329;VINO TINTO DULCE CAJA;;;;UVITA;;1.450,00;5;;7.250,00
;7790168903925;VINO TINTO MALBEC;;;;COLON SELECTO;;4.000,00;4;;16.000,00
;7798145640139;VINO TINTO VARIETALES;;;;AGUMA;;2.800,00;2;;5.600,00
;7797942007084;VINO TORRONTES;;;;FINCA NATALINA;;2.500,00;1;;2.500,00
;7797942007831;VINO TORRONTES;;;;JUAN Y JUANA;;2.900,00;1;;2.900,00
;7790070336965;VITINA CLASICA 500 GS;;;;;;1.850,00;1;;1.850,00
;7790070336989;VITINA ESPINACA 250 GS;;;;;;1.300,00;2;;2.600,00
;7791200000213;VODKA SKYY;;;;SKYY;;7.200,00;5;;36.000,00
;7792410533102;VODKA WYBOROWA;;;;WYBOROWA;;3.500,00;3;;10.500,00
;7790070318893;VTINA ESPINACA 250 GS;;;;VITINA;;1.150,00;2;;2.300,00
;7792410527880;WISKY DOPBLE V;;;;;;4.800,00;1;;4.800,00
;7791130963503;WOOLITE 450 ML;;;;;;2.500,00;3;;7.500,00
;7790387013634;YERBA 250 GS;;;;TARAGUI;;1.000,00;2;;2.000,00
;7790411001989;YERBA 500 GS AMARILLA ;;;;ROSAMONTE;;1.800,00;2;;3.600,00
;7793395000405;YERBA 500 GS BOLDO;;;;MAS SABOR;;1.100,00;9;;9.900,00
;7793704000881;YERBA 500 GS ROJA;;;;PLAYADITO;;2.770,00;5;;13.850,00
;7790387015331;YERBA C/PALO 250 GS;;;;MAÑANITA;;1.000,00;3;;3.000,00
;7791680101400;YERBA C/PALO 250 GS;;;;LA HOJA;;800,00;32;;25.600,00
;7790387013627;YERBA C/PALO 500 GS;;;;TARAGUI;;2.000,00;1;;2.000,00
;7798028021598;YERBA EXTRA SUAVE;;;;LA POSADEÑA;;1.450,00;3;;4.350,00
;7790710334597;YERBA LIMON 500 GS;;;;CBSE;;1.500,00;3;;4.500,00
;7793670000038;YERBA MELISA 500 GS;;;;VERDEFLOR;;1.411,00;5;;7.055,00
;7793670000670;YERBA MENTA 500GS ;;;;VERDEFLOR;;1.411,00;10;;14.110,00
;7793670000632;YERBA NARANJA 500 GS;;;;VERDEFLOR;;1.411,00;3;;4.233,00
;7790710334580;YERBA NARANJA 500 GS;;;;CBSE;;1.500,00;2;;3.000,00
;7793670400500;YERBA PEPERINA 500 GS;;;;VERDEFLOR;;1.411,00;4;;5.644,00
;7790710334610;YERBA POMELO 500 GS ;;;;CBSE;;1.500,00;2;;3.000,00
;7730241009038;YERBA SERENA;;;;CANARIAS;;5.000,00;2;;10.000,00
;7790710334726;YERBA SERRANA 250 GS;;;;CBSE;;800,00;7;;5.600,00
;7793670000021;YERBA SERRANAS 250 GS;;;;VERDEFLOR;;800,00;5;;4.000,00
;7790411000548;YERBA SUAVE 500 GS;;;;ROSAMONTE;;1.800,00;1;;1.800,00
;7790070509109;YERBA SUAVE 500 GS;;;;NOBLEZA GAUCHA;;1.650,00;1;;1.650,00
;7730241003647;YERBA TRADICIONAL 250 GS;;;;CANARIAS;;2.000,00;1;;2.000,00
;;;;;;Pág. 39 
;Stock Valorizado;;;;;;;;;;11/7/2026
;Código;Descripción;;;;Marca;Costo;;Stock;St.Valorizado
;7790787960460;YOGUR 190GS DDL;;;;ILOLAY;;944,00;6;;5.664,00
;7798001560632;YOGUR CON CEREALES;;;;CREMIGAL;;856,00;6;;5.136,00
;7795793102811;YOGUR CON FRUTAS;;;;RAMOLAC;;1.000,00;4;;4.000,00
;7798321151268;YOGUR CREMOSO VAINILLA;;;;YOGS;;700,00;2;;1.400,00
;7790787960927;YOGUR NATURAL;;;;ILOLAY;;1.102,00;4;;4.408,00
;7791058790786;YOGUR SACHET BANANA;;;;MANFREY;;1.900,00;5;;9.500,00
;7798001563084;YOGUR SACHET F. TROPICALES;;;;CREMIGAL;;1.364,00;6;;8.184,00
;7798321152241;YOGUR SACHET FRUTILLA;;;;YOGS;;2.000,00;2;;4.000,00
;7798001563053;YOGUR SACHET FRUTILLA;;;;CREMIGAL;;1.350,00;6;;8.100,00
;7798001563060;YOGUR SACHET VAINILLA;;;;CREMIGAL;;1.350,00;6;;8.100,00
;7790787960408;YOGUR VASITO FRUTILLA;;;;ILOLAY;;620,00;9;;5.580,00
;7791337007178;YOGUR VASITO VAINILLA;;;;GRAN COMPRA;;479,00;3;;1.437,00
;7794820903223;YOGUR VASITO VAINILLA;;;;MILKAUT;;623,00;1;;623,00
;7798321151220;YOGURT C/CEREALES;;;;YOGS;;1.550,00;3;;4.650,00
;7798136870644;YOGURT FRASCO DAHI DURAZNO;;;;;;1.529,00;4;;6.116,00
;7795793102415;YOGURT VASITO;;;;RAMOLAC;;400,00;2;;800,00
;7798001562834;YOPGUR CON ARITOS;;;;CREMIGAL;;856,00;2;;1.712,00
;;;;;;;TOTAL;;688.832;;$20.508.563.879,
;;;;;;;;;;;00
;;;;;;Pág. 40 
